,continent,Year,Energy use (kg of oil equivalent per capita)
12,Europe,1972,865.592481207
13,Europe,1977,923.7288675039999
14,Europe,1982,966.6832837810001
15,Europe,1987,921.8930440180001
16,Europe,1992,418.28662975699996
17,Europe,1997,384.594958328
18,Europe,2002,645.080153785
19,Europe,2007,679.861765101
22,Africa,1972,261.465250751
23,Africa,1977,398.656113469
24,Africa,1982,771.235497639
25,Africa,1987,827.552506829
26,Africa,1992,883.7458819
27,Africa,1997,804.842705115
28,Africa,2002,904.456391853
29,Africa,2007,1075.19412704
52,Africa,1972,629.301934363
53,Africa,1977,535.2524622330001
54,Africa,1982,514.415934309
55,Africa,1987,502.59845891099997
56,Africa,1992,511.237051724
57,Africa,1997,494.174484207
58,Africa,2002,515.4034564030001
59,Africa,2007,561.5501055130001
82,Americas,1972,1379.81886741
83,Americas,1977,1420.56765898
84,Americas,1982,1416.53992488
85,Americas,1987,1477.07652885
86,Americas,1992,1484.0589177000006
87,Americas,1997,1614.33824027
88,Americas,2002,1502.22488095
89,Americas,2007,1846.93675639
110,Oceania,1962,3172.97486502
111,Oceania,1967,3692.80794983
112,Oceania,1972,4035.20634439
113,Oceania,1977,4671.19567362
114,Oceania,1982,4817.48952431
115,Oceania,1987,4772.37046465
116,Oceania,1992,4959.21491855
117,Oceania,1997,5469.5999892
118,Oceania,2002,5569.6409925
119,Oceania,2007,5868.34709712
120,Europe,1962,1675.87362115
121,Europe,1967,1920.21212423
122,Europe,1972,2627.32249578
123,Europe,1977,2797.42192238
124,Europe,1982,2830.22178095
125,Europe,1987,3174.74539203
126,Europe,1992,3239.0639673
127,Europe,1997,3542.5214303000002
128,Europe,2002,3765.28296302
129,Europe,2007,4029.62695258
152,Asia,1972,5960.21133509
153,Asia,1977,8187.11498635
154,Asia,1982,9071.02474414
155,Asia,1987,9523.46356521
156,Asia,1992,10844.7550254
157,Asia,1997,12122.050602700001
158,Asia,2002,11704.3047293
159,Asia,2007,11291.126355
162,Asia,1972,86.903766977
163,Asia,1977,97.860763105
164,Asia,1982,105.482961637
165,Asia,1987,106.866835127
166,Asia,1992,119.405481659
167,Asia,1997,135.210016124
168,Asia,2002,149.933182829
169,Asia,2007,173.580998621
190,Europe,1962,2810.06114801
191,Europe,1967,3182.9234575
192,Europe,1972,4473.92951273
193,Europe,1977,4589.52441
194,Europe,1982,4208.25780214
195,Europe,1987,4727.68639528
196,Europe,1992,5092.96578511
197,Europe,1997,5579.51075728
198,Europe,2002,5461.40290348
199,Europe,2007,5389.28164733
212,Africa,1972,380.812029086
213,Africa,1977,363.746124276
214,Africa,1982,355.338045025
215,Africa,1987,347.30659179599996
216,Africa,1992,321.349456122
217,Africa,1997,350.78972053
218,Africa,2002,305.04923703400004
219,Africa,2007,368.216084341
242,Americas,1972,240.15717025400002
243,Americas,1977,331.439253894
244,Americas,1982,462.43170312
245,Americas,1987,341.49345000299996
246,Americas,1992,399.828007323
247,Americas,1997,561.077061465
248,Americas,2002,528.760849998
249,Americas,2007,561.052703379
256,Europe,1992,1034.34415156
257,Europe,1997,712.9252777060001
258,Europe,2002,1156.99672325
259,Europe,2007,1381.12205494
264,Africa,1982,739.29915268
265,Africa,1987,743.685354401
266,Africa,1992,979.0873105810001
267,Africa,1997,900.173527778
268,Africa,2002,1032.6780741
269,Africa,2007,1028.07041536
272,Americas,1972,741.6918705969998
273,Americas,1977,868.475086329
274,Americas,1982,867.193602187
275,Americas,1987,987.5625571830001
276,Americas,1992,929.003678998
277,Americas,1997,1061.83829204
278,Americas,2002,1081.26747985
279,Americas,2007,1221.36231051
302,Europe,1972,2262.78654882
303,Europe,1977,2954.26673889
304,Europe,1982,3309.20642511
305,Europe,1987,3411.07339479
306,Europe,1992,2396.00726637
307,Europe,1997,2504.12268042
308,Europe,2002,2401.37660851
309,Europe,2007,2666.11144524
347,Asia,1997,265.896639422
348,Asia,2002,314.97027594400004
349,Asia,2007,253.343288148
352,Africa,1972,386.14642293800006
353,Africa,1977,402.624623832
354,Africa,1982,423.36095946300003
355,Africa,1987,417.73292245
356,Africa,1992,397.277540786
357,Africa,1997,396.72715651699997
358,Africa,2002,389.52261441
359,Africa,2007,332.30332161
360,Americas,1962,4451.56011604
361,Americas,1967,5557.29174015
362,Americas,1972,6933.60655182
363,Americas,1977,7409.53000504
364,Americas,1982,7149.3440599999985
365,Americas,1987,7641.32410546
366,Americas,1992,7479.477427399999
367,Americas,1997,7965.51932158
368,Americas,2002,7920.11022894
369,Americas,2007,8130.58019344
432,Americas,1972,891.2738674039999
433,Americas,1977,779.391621026
434,Americas,1982,763.201224638
435,Americas,1987,826.260796732
436,Americas,1992,1141.81007039
437,Americas,1997,1558.78524634
438,Americas,2002,1644.79154564
439,Americas,2007,1860.10017433
442,Asia,1972,477.168708746
443,Asia,1977,577.211010594
444,Asia,1982,606.830437326
445,Asia,1987,694.4223599789999
446,Asia,1992,752.628662541
447,Asia,1997,871.6462695360001
448,Asia,2002,978.61898313
449,Asia,2007,1550.53027085
452,Americas,1972,598.975288294
453,Americas,1977,638.025434659
454,Americas,1982,635.432893568
455,Americas,1987,696.0663928460001
456,Americas,1992,704.354798517
457,Americas,1997,709.8217022360001
458,Americas,2002,606.266720641
459,Americas,2007,637.510761494
469,Africa,2007,63.1348128438
492,Americas,1972,442.444664949
493,Americas,1977,528.165846592
494,Americas,1982,455.822967416
495,Americas,1987,491.495062694
496,Americas,1992,705.487675532
497,Americas,1997,647.0037811669999
498,Americas,2002,748.21348058
499,Americas,2007,1031.80869969
502,Africa,1972,453.243100247
503,Africa,1977,449.52124719
504,Africa,1982,393.432418022
505,Africa,1987,383.372484812
506,Africa,1992,373.659519455
507,Africa,1997,386.175169435
508,Africa,2002,406.144021726
509,Africa,2007,539.7271851830001
516,Europe,1992,1502.13713647
517,Europe,1997,1704.81692913
518,Europe,2002,1856.86891892
519,Europe,2007,2102.14585212
522,Americas,1972,1154.55654156
523,Americas,1977,1424.73743541
524,Americas,1982,1536.90510757
525,Americas,1987,1578.25907104
526,Americas,1992,1214.11700599
527,Americas,1997,1125.97333686
528,Americas,2002,1053.28051042
529,Americas,2007,904.662628457
552,Europe,1972,4613.78059093
553,Europe,1977,4716.46270083
554,Europe,1982,4633.61136678
555,Europe,1987,4978.254944899999
556,Europe,1992,4222.41657552
557,Europe,1997,4184.88468363
558,Europe,2002,4163.45010589
559,Europe,2007,4468.96035161
560,Europe,1962,2296.28956262
561,Europe,1967,3061.11010693
562,Europe,1972,3858.59212164
563,Europe,1977,3830.10381024
564,Europe,1982,3422.37480485
565,Europe,1987,3819.83212874
566,Europe,1992,3561.89036948
567,Europe,1997,3848.1558435999996
568,Europe,2002,3535.09801372
569,Europe,2007,3622.59683256
579,Africa,2007,178.904528787
592,Americas,1972,573.372745636
593,Americas,1977,601.951784846
594,Americas,1982,596.93367919
595,Americas,1987,594.381238984
596,Americas,1992,603.781376066
597,Americas,1997,749.844735219
598,Americas,2002,819.797049144
599,Americas,2007,763.408932512
642,Americas,1972,360.600661999
643,Americas,1977,568.073705272
644,Americas,1982,666.635807378
645,Americas,1987,602.470062495
646,Americas,1992,629.220777401
647,Americas,1997,721.687588695
648,Americas,2002,739.4547575380002
649,Americas,2007,833.203582927
662,Americas,1972,484.96788820300003
663,Americas,1977,622.1297874219999
664,Americas,1982,595.2355137530001
665,Americas,1987,503.481769676
666,Americas,1992,525.453706523
667,Americas,1997,624.096762293
668,Americas,2002,720.3532811819998
669,Americas,2007,748.1199930380002
679,Africa,2007,2641.94245101
686,Africa,1992,277.580928028
687,Africa,1997,319.16492977400003
688,Africa,2002,197.54986892
689,Africa,2007,162.700034655
702,Africa,1972,434.793195834
703,Africa,1977,432.458375494
704,Africa,1982,434.058222854
705,Africa,1987,437.23499529599997
706,Africa,1992,431.15182408
707,Africa,1997,435.145404589
708,Africa,2002,439.254909387
709,Africa,2007,442.86665148300006
780,Europe,1962,2361.74387608
781,Europe,1967,3126.42604539
782,Europe,1972,4188.16067653
783,Europe,1977,4516.24806759
784,Europe,1982,4805.49388193
785,Europe,1987,5960.69258613
786,Europe,1992,5380.99306782
787,Europe,1997,6276.95169203
788,Europe,2002,6705.43983596
789,Europe,2007,6967.21323874
800,Europe,1962,1852.7357712
801,Europe,1967,2241.91139524
802,Europe,1972,3160.80483651
803,Europe,1977,3155.62146854
804,Europe,1982,3272.05274478
805,Europe,1987,3690.65145306
806,Europe,1992,3954.00370317
807,Europe,1997,4049.35046526
808,Europe,2002,4225.60695353
809,Europe,2007,4120.3058212
822,Africa,1972,1707.3062928
823,Africa,1977,2000.90013642
824,Africa,1982,2069.78785109
825,Africa,1987,1470.39664628
826,Africa,1992,1298.09635297
827,Africa,1997,1236.01768782
828,Africa,2002,1229.36459426
829,Africa,2007,1281.68189093
850,Europe,1962,2124.84853926
851,Europe,1967,2388.41234673
852,Europe,1972,4017.33738516
853,Europe,1977,4336.0874042
854,Europe,1982,4257.86440736
855,Europe,1987,4616.39706207
856,Europe,1992,4190.98422047
857,Europe,1997,4203.3573666
858,Europe,2002,4108.40129887
859,Europe,2007,3985.80810152
862,Africa,1972,348.93189080300004
863,Africa,1977,381.515147025
864,Africa,1982,376.70889698800005
865,Africa,1987,363.852104774
866,Africa,1992,366.522645114
867,Africa,1997,398.339353834
868,Africa,2002,317.525749335
869,Africa,2007,278.76098947099996
880,Europe,1962,350.10125786099997
881,Europe,1967,607.702155943
882,Europe,1972,1134.78649348
883,Europe,1977,1469.54942907
884,Europe,1982,1537.27769706
885,Europe,1987,1791.83338591
886,Europe,1992,2129.89451644
887,Europe,1997,2282.13703466
888,Europe,2002,2597.74828926
889,Europe,2007,2734.92011068
922,Americas,1972,491.47344241300004
923,Americas,1977,574.359356263
924,Americas,1982,482.712477796
925,Americas,1987,448.694681999
926,Americas,1992,497.344297754
927,Americas,1997,526.326033275
928,Americas,2002,590.478746775
929,Americas,2007,616.892076168
949,Africa,2007,62.1995597581
962,Americas,1972,317.810225983
963,Americas,1977,350.433910995
964,Americas,1982,301.84769275599996
965,Americas,1987,226.32697135400002
966,Americas,1992,219.075496949
967,Americas,1997,252.46309335599997
968,Americas,2002,261.374331488
969,Americas,2007,384.513775199
992,Americas,1972,499.277043223
993,Americas,1977,512.605428263
994,Americas,1982,520.393217065
995,Americas,1987,481.319956646
996,Americas,1992,483.33554394699996
997,Americas,1997,528.901564325
998,Americas,2002,516.4041365740001
999,Americas,2007,657.398639731
1011,Europe,1967,1476.04957577
1012,Europe,1972,1880.53879751
1013,Europe,1977,2428.82933004
1014,Europe,1982,2630.75848148
1015,Europe,1987,2894.82745315
1016,Europe,1992,2423.17944795
1017,Europe,1997,2527.30162599
1018,Europe,2002,2520.15246577
1019,Europe,2007,2658.03637311
1070,Europe,1962,3028.29836932
1071,Europe,1967,3594.36178937
1072,Europe,1972,4403.96964669
1073,Europe,1977,5602.87016623
1074,Europe,1982,7076.20798768
1075,Europe,1987,7857.45488268
1076,Europe,1992,7755.39441578
1077,Europe,1997,8584.10049866
1078,Europe,2002,10804.6417156
1079,Europe,2007,14746.031338499999
1082,Asia,1972,268.485083335
1083,Asia,1977,283.275393642
1084,Asia,1982,299.592677132
1085,Asia,1987,325.73809089400004
1086,Asia,1992,365.379491444
1087,Asia,1997,399.05252890699995
1088,Asia,2002,423.58011441900004
1089,Asia,2007,486.292374786
1092,Asia,1972,301.357990782
1093,Asia,1977,347.868204367
1094,Asia,1982,388.83462499800004
1095,Asia,1987,436.66323497900004
1096,Asia,1992,574.344890279
1097,Asia,1997,690.7954914339999
1098,Asia,2002,760.140852043
1099,Asia,2007,788.5836582439999
1112,Asia,1972,405.152489951
1113,Asia,1977,626.354937731
1114,Asia,1982,690.323799679
1115,Asia,1987,958.1894716610001
1116,Asia,1992,1311.18896852
1117,Asia,1997,1861.7960965
1118,Asia,2002,1130.94271589
1119,Asia,2007,892.39580238
1120,Europe,1962,1412.72967684
1121,Europe,1967,1767.42510638
1122,Europe,1972,2194.51306452
1123,Europe,1977,2203.82152215
1124,Europe,1982,2356.8942567
1125,Europe,1987,2608.80658136
1126,Europe,1992,2775.21800345
1127,Europe,1997,3255.49845122
1128,Europe,2002,3661.32224061
1129,Europe,2007,3416.03094562
1142,Asia,1972,1756.33100381
1143,Asia,1977,1786.48768337
1144,Asia,1982,1958.31704292
1145,Asia,1987,2278.47928588
1146,Asia,1992,2580.96935389
1147,Asia,1997,2881.12834133
1148,Asia,2002,2862.7957382
1149,Asia,2007,2898.15336834
1150,Europe,1962,1007.04834663
1151,Europe,1967,1551.51917279
1152,Europe,1972,2050.73787712
1153,Europe,1977,2204.17980667
1154,Europe,1982,2206.54273411
1155,Europe,1987,2407.25635314
1156,Europe,1992,2627.34000777
1157,Europe,1997,2834.40294607
1158,Europe,2002,3017.97165871
1159,Europe,2007,3062.36054739
1162,Americas,1972,1331.9860874
1163,Americas,1977,1153.48652689
1164,Americas,1982,1040.31180401
1165,Americas,1987,765.4628605460001
1166,Americas,1992,1215.0555252
1167,Americas,1997,1333.59707253
1168,Americas,2002,1371.65658542
1169,Americas,2007,1578.42891649
1170,Asia,1962,1003.75225394
1171,Asia,1967,1720.54974435
1172,Asia,1972,2667.04674964
1173,Asia,1977,2899.90421823
1174,Asia,1982,2840.60843908
1175,Asia,1987,3044.11508629
1176,Asia,1992,3652.07124745
1177,Asia,1997,4048.98200021
1178,Asia,2002,4005.94409353
1179,Asia,2007,4024.99795314
1182,Asia,1972,297.830418297
1183,Asia,1977,473.54373155800005
1184,Asia,1982,875.54040491
1185,Asia,1987,998.355658577
1186,Asia,1992,1015.41769856
1187,Asia,1997,991.96787502
1188,Asia,2002,1024.4838209
1189,Asia,2007,1251.68193903
1202,Africa,1972,455.51360094800003
1203,Africa,1977,455.62606167300004
1204,Africa,1982,437.65228694800004
1205,Africa,1987,464.00933684
1206,Africa,1992,445.11180573300004
1207,Africa,1997,441.007660811
1208,Africa,2002,440.968733004
1209,Africa,2007,462.22025237800005
1252,Asia,1972,7802.76597438
1253,Asia,1977,6429.99850119
1254,Asia,1982,7548.12934744
1255,Asia,1987,8616.57655309
1257,Asia,1997,8764.51262442
1258,Asia,2002,10105.8321479
1259,Asia,2007,10395.1176066
1342,Asia,1972,789.565543378
1343,Asia,1977,696.1964896339999
1344,Asia,1982,678.5814280469999
1345,Asia,1987,996.9433219739999
1346,Asia,1992,868.56933067
1347,Asia,1997,1698.3102702999995
1348,Asia,2002,1484.22892653
1349,Asia,2007,1034.92218437
1359,Africa,2007,9.715410072120001
1372,Africa,1972,952.733553333
1373,Africa,1977,1455.08414725
1374,Africa,1982,2397.98259634
1375,Africa,1987,2700.28315715
1376,Africa,1992,2452.19740381
1377,Africa,1997,2991.94395278
1378,Africa,2002,3071.77483233
1379,Africa,2007,2725.88792504
1482,Asia,1972,536.095210505
1483,Asia,1977,621.740086559
1484,Asia,1982,898.6549052380002
1485,Asia,1987,1078.98626036
1486,Asia,1992,1566.72481216
1487,Asia,1997,2063.52696529
1488,Asia,2002,2183.8734214
1489,Asia,2007,2742.50027319
1538,Africa,1972,435.05979088199996
1539,Africa,1977,474.22287679699997
1540,Africa,1982,414.601806914
1541,Africa,1987,512.011597538
1542,Africa,1992,657.7868228880001
1543,Africa,1997,712.571976967
1544,Africa,2002,873.195801833
1545,Africa,2007,1007.57484088
1548,Americas,1972,856.81120942
1549,Americas,1977,1063.78037111
1550,Americas,1982,1465.05024708
1551,Americas,1987,1379.33314201
1552,Americas,1992,1452.97190576
1553,Americas,1997,1398.88398183
1554,Americas,2002,1412.86939872
1555,Americas,2007,1551.28978352
1631,Asia,1987,1746.24080026
1632,Asia,1992,1488.63742731
1633,Asia,1997,951.8515695980001
1634,Asia,2002,1058.16485595
1635,Asia,2007,1376.98860218
1645,Europe,2007,1927.97889182
1648,Africa,1972,190.387995598
1649,Africa,1977,252.036810104
1650,Africa,1982,268.259441677
1651,Africa,1987,277.485699249
1652,Africa,1992,327.952990834
1653,Africa,1997,362.27042057
1654,Africa,2002,402.312789339
1655,Africa,2007,487.448713086
1658,Africa,1972,699.0228986210001
1659,Africa,1977,608.405141326
1660,Africa,1982,523.782627433
1661,Africa,1987,474.548861116
1662,Africa,1992,420.272139083
1663,Africa,1997,390.685096382
1664,Africa,2002,395.12768677400004
1665,Africa,2007,407.278749651
1668,Asia,1972,281.931848431
1669,Asia,1977,276.246179043
1670,Asia,1982,270.238811656
1671,Asia,1987,269.30095308
1672,Asia,1992,251.060745819
1673,Asia,1997,263.20255292
1674,Asia,2002,266.38584486599996
1675,Asia,2007,307.913041122
1682,Africa,1992,496.51876970800004
1683,Africa,1997,594.756148267
1684,Africa,2002,579.8782172790001
1685,Africa,2007,659.366428344
1698,Asia,1972,300.972670494
1699,Asia,1977,302.06554296
1700,Asia,1982,305.746943514
1701,Asia,1987,307.065111322
1702,Asia,1992,309.74507691900004
1703,Asia,1997,316.822270368
1704,Asia,2002,345.37079196
1705,Asia,2007,357.131793555
1706,Europe,1962,2081.01162075
1707,Europe,1967,2762.80248267
1708,Europe,1972,4381.04179488
1709,Europe,1977,4560.27311991
1710,Europe,1982,3785.11593558
1711,Europe,1987,4387.67068914
1712,Europe,1992,4501.66087489
1713,Europe,1997,4579.47478164
1714,Europe,2002,4687.98228043
1715,Europe,2007,4843.79608802
1726,Oceania,1962,1791.46132151
1727,Oceania,1967,2188.69351345
1728,Oceania,1972,2617.16105927
1729,Oceania,1977,3055.08108455
1730,Oceania,1982,3012.97138874
1731,Oceania,1987,3452.96268019
1732,Oceania,1992,3808.4772206000002
1733,Oceania,1997,4258.75677677
1734,Oceania,2002,4337.38052425
1735,Oceania,2007,4054.4950045
1738,Americas,1972,487.96346663800006
1739,Americas,1977,585.0413863719999
1740,Americas,1982,469.268615848
1741,Americas,1987,502.383245685
1742,Americas,1992,509.839947747
1743,Americas,1997,503.04461939
1744,Americas,2002,508.740585366
1745,Americas,2007,521.961949752
1754,Africa,2002,130.047629217
1755,Africa,2007,128.026173022
1758,Africa,1972,583.794808164
1759,Africa,1977,634.258748201
1760,Africa,1982,689.4945390439999
1761,Africa,1987,674.47298453
1762,Africa,1992,719.308370017
1763,Africa,1997,696.8847876410001
1764,Africa,2002,721.312209806
1765,Africa,2007,747.1012487439999
1780,Europe,1962,2052.05448433
1781,Europe,1967,2815.68798736
1782,Europe,1972,3503.4299482
1783,Europe,1977,4060.10627707
1784,Europe,1982,4262.39171068
1785,Europe,1987,5048.49930916
1786,Europe,1992,5159.65421807
1787,Europe,1997,5477.88285412
1788,Europe,2002,5503.46451061
1789,Europe,2007,5864.97593092
1802,Asia,1972,112.05480828299999
1803,Asia,1977,761.662333837
1804,Asia,1982,1151.87126892
1805,Asia,1987,1412.3831509000001
1806,Asia,1992,2756.42578415
1807,Asia,1997,3027.90856152
1808,Asia,2002,3890.79215204
1809,Asia,2007,6881.62081928
1832,Asia,1972,285.16407106400004
1833,Asia,1977,302.558312012
1834,Asia,1982,336.92280827900004
1835,Asia,1987,376.344243754
1836,Asia,1992,412.40521540199995
1837,Asia,1997,448.92519184900004
1838,Asia,2002,455.93463566699995
1839,Asia,2007,523.2672101530001
1852,Americas,1972,1159.6892715999998
1853,Americas,1977,899.7691370580002
1854,Americas,1982,796.469906347
1855,Americas,1987,730.8000538289999
1856,Americas,1992,715.38365957
1857,Americas,1997,777.742373207
1858,Americas,2002,834.670915895
1859,Americas,2007,879.523836391
1872,Americas,1972,540.588375968
1873,Americas,1977,580.530937274
1874,Americas,1982,630.648885594
1875,Americas,1987,699.102776962
1876,Americas,1992,712.691343364
1877,Americas,1997,877.0448880460001
1878,Americas,2002,705.433761481
1879,Americas,2007,708.7828687130002
1882,Americas,1972,648.807999388
1883,Americas,1977,678.509067152
1884,Americas,1982,632.7254874390001
1885,Americas,1987,540.974320389
1886,Americas,1992,408.43313224
1887,Americas,1997,440.557973649
1888,Americas,2002,446.34082719400004
1889,Americas,2007,506.63314384800003
1892,Asia,1972,406.49229803800006
1893,Asia,1977,456.743021869
1894,Asia,1982,461.890994003
1895,Asia,1987,433.357672285
1896,Asia,1992,460.54597633699996
1897,Asia,1997,500.989771655
1898,Asia,2002,477.457211125
1899,Asia,2007,434.402352876
1900,Europe,1962,1976.85979181
1901,Europe,1967,2199.05462052
1902,Europe,1972,2693.74527501
1903,Europe,1977,3251.8025716999996
1904,Europe,1982,3412.49866376
1905,Europe,1987,3535.48197152
1906,Europe,1992,2569.17533457
1907,Europe,1997,2643.12353589
1908,Europe,2002,2314.20257992
1909,Europe,2007,2526.9949601999997
1910,Europe,1962,363.164047972
1911,Europe,1967,486.585415324
1912,Europe,1972,745.283954565
1913,Europe,1977,845.368945104
1914,Europe,1982,1119.20463053
1915,Europe,1987,1241.1956653
1916,Europe,1992,1813.8858461
1917,Europe,1997,2083.48767635
1918,Europe,2002,2477.48974988
1919,Europe,2007,2402.47799385
1962,Europe,1972,2131.63973572
1963,Europe,1977,2735.43911555
1964,Europe,1982,2876.73333115
1965,Europe,1987,3027.56521622
1966,Europe,1992,2052.96292702
1967,Europe,1997,1989.99418196
1968,Europe,2002,1755.13002556
1969,Europe,2007,1904.09688616
2019,Africa,2007,274.890043982
2022,Asia,1972,979.4232499430001
2023,Asia,1977,1368.95037047
2024,Asia,1982,4215.42559694
2025,Asia,1987,3750.91313869
2026,Asia,1992,4421.45445335
2027,Asia,1997,4354.65523263
2028,Asia,2002,4907.82867485
2029,Asia,2007,5379.69097885
2032,Africa,1972,280.837670795
2033,Africa,1977,281.84046200299997
2034,Africa,1982,260.719421235
2035,Africa,1987,254.211898654
2036,Africa,1992,222.63468596599998
2037,Africa,1997,221.005820684
2038,Africa,2002,253.315356135
2039,Africa,2007,252.409846662
2046,Europe,1992,2020.15373461
2047,Europe,1997,2299.90425855
2048,Europe,2002,2119.78208028
2049,Europe,2007,2248.15503566
2072,Asia,1972,1569.47082327
2073,Asia,1977,1763.23012084
2074,Asia,1982,1987.08730813
2075,Asia,1987,2757.88068931
2076,Asia,1992,4588.43321165
2077,Asia,1997,5818.15092473
2078,Asia,2002,5065.98450652
2079,Asia,2007,4677.20430572
2085,Europe,1972,3224.51944058
2086,Europe,1977,3780.58944725
2087,Europe,1982,3754.67958194
2088,Europe,1987,4074.77904741
2089,Europe,1992,3410.7278846999993
2090,Europe,1997,3361.88402225
2091,Europe,2002,3483.86750611
2092,Europe,2007,3320.45472221
2099,Europe,1992,2584.33517088
2100,Europe,1997,3310.40063325
2101,Europe,2002,3424.45287862
2102,Europe,2007,3627.52350948
2135,Africa,1972,1997.49821372
2136,Africa,1977,2208.54919916
2137,Africa,1982,2699.72841558
2138,Africa,1987,2831.14750181
2139,Africa,1992,2414.3981946
2140,Africa,1997,2655.26925959
2141,Africa,2002,2421.00577767
2142,Africa,2007,2805.48565552
2173,Europe,1962,605.223527325
2174,Europe,1967,881.3832485789999
2175,Europe,1972,1299.43101563
2176,Europe,1977,1667.64601643
2177,Europe,1982,1762.40454547
2178,Europe,1987,1919.44664907
2179,Europe,1992,2435.96962149
2180,Europe,1997,2666.2640552
2181,Europe,2002,3107.86734112
2182,Europe,2007,3180.03341956
2185,Asia,1972,314.546613794
2186,Asia,1977,293.83388323099996
2187,Asia,1982,324.13036566
2188,Asia,1987,328.090886835
2189,Asia,1992,327.882389865
2190,Asia,1997,380.08672160699996
2191,Asia,2002,432.84856645
2192,Asia,2007,470.83709579
2265,Africa,1972,485.01893466900003
2266,Africa,1977,445.524031505
2267,Africa,1982,431.003010124
2268,Africa,1987,397.42097884300006
2269,Africa,1992,386.72897561
2270,Africa,1997,392.294923579
2271,Africa,2002,411.137505242
2272,Africa,2007,366.495542
2292,Africa,2007,372.73549966400003
2293,Europe,1962,2887.23625249
2294,Europe,1967,3630.19413871
2295,Europe,1972,4527.21372025
2296,Europe,1977,5054.83376436
2297,Europe,1982,4877.79989653
2298,Europe,1987,5763.0704408
2299,Europe,1992,5369.37035674
2300,Europe,1997,5672.0081772
2301,Europe,2002,5802.11010517
2302,Europe,2007,5472.13539173
2303,Europe,1962,1568.91106002
2304,Europe,1967,2040.8279002
2305,Europe,1972,2727.71921732
2306,Europe,1977,2877.79290941
2307,Europe,1982,2984.22326318
2308,Europe,1987,3430.8555125
2309,Europe,1992,3613.49260926
2310,Europe,1997,3526.10543855
2311,Europe,2002,3553.18855698
2312,Europe,2007,3410.15494794
2335,Africa,1972,527.0538798619999
2336,Africa,1977,455.445767964
2337,Africa,1982,414.717967022
2338,Africa,1987,394.145177081
2339,Africa,1992,369.835021604
2340,Africa,1997,357.261154316
2341,Africa,2002,416.002267994
2342,Africa,2007,442.62215764
2345,Asia,1972,367.86432768099996
2346,Asia,1977,451.510578157
2347,Asia,1982,456.467867425
2348,Asia,1987,531.762695185
2349,Asia,1992,840.141111806
2350,Asia,1997,1164.94784692
2351,Asia,2002,1282.58023503
2352,Asia,2007,1585.96595222
2365,Africa,1972,332.041867346
2366,Africa,1977,327.998948608
2367,Africa,1982,327.324375984
2368,Africa,1987,328.062332773
2369,Africa,1992,328.69853999
2370,Africa,1997,384.078207642
2371,Africa,2002,424.03409757199995
2372,Africa,2007,417.11804976699995
2385,Americas,1972,2772.88276961
2386,Americas,1977,2808.51679767
2387,Americas,1982,3648.18714807
2388,Americas,1987,4188.6453215
2389,Americas,1992,5286.28687516
2390,Americas,1997,5437.91312128
2391,Americas,2002,9356.78097414
2392,Americas,2007,14608.0098682
2395,Africa,1972,341.737804158
2396,Africa,1977,427.302747359
2397,Africa,1982,493.048630903
2398,Africa,1987,542.645168334
2399,Africa,1992,641.6905970619999
2400,Africa,1997,679.079751272
2401,Africa,2002,801.489193653
2402,Africa,2007,883.981281357
2403,Europe,1962,410.02179696699994
2404,Europe,1967,484.393315616
2405,Europe,1972,605.1364652890001
2406,Europe,1977,778.4328071839999
2407,Europe,1982,732.662049648
2408,Europe,1987,917.976137079
2409,Europe,1992,960.859171935
2410,Europe,1997,1165.81161631
2411,Europe,2002,1139.69490969
2412,Europe,2007,1438.53526923
2473,Europe,1962,3087.34197183
2474,Europe,1967,3345.55349486
2475,Europe,1972,3747.96247517
2476,Europe,1977,3695.38387114
2477,Europe,1982,3397.12228872
2478,Europe,1987,3619.07726922
2479,Europe,1992,3684.72453527
2480,Europe,1997,3760.71236505
2481,Europe,2002,3685.8654787
2482,Europe,2007,3441.68876583
2483,Americas,1962,5774.58631485
2484,Americas,1967,6809.82048392
2485,Americas,1972,7940.99783226
2486,Americas,1977,8285.57089798
2487,Americas,1982,7259.07889875
2488,Americas,1987,7622.17301652
2489,Americas,1992,7677.40140109
2490,Americas,1997,7828.5810964
2491,Americas,2002,7843.34484914
2492,Americas,2007,7758.16570028
2505,Americas,1972,872.986354117
2506,Americas,1977,868.792103341
2507,Americas,1982,766.1430987780002
2508,Americas,1987,718.448623294
2509,Americas,1992,855.1247871139999
2510,Americas,1997,880.633650605
2511,Americas,2002,762.6981432010001
2512,Americas,2007,947.8386106739999
2545,Asia,1972,298.157558425
2546,Asia,1977,257.872313351
2547,Asia,1982,271.162299998
2548,Asia,1987,286.657214575
2549,Asia,1992,276.1308749
2550,Asia,1997,335.170556166
2551,Asia,2002,420.446832131
2552,Asia,2007,540.08195349
2589,Africa,1972,857.0932537580002
2590,Africa,1977,819.7872201060001
2591,Africa,1982,756.612333199
2592,Africa,1987,700.14084375
2593,Africa,1992,662.721536129
2594,Africa,1997,617.209365016
2595,Africa,2002,598.548219754
2596,Africa,2007,588.018958956
2599,Africa,1972,994.184786353
2600,Africa,1977,921.65469562
2601,Africa,1982,842.372683813
2602,Africa,1987,896.673611477
2603,Africa,1992,923.493407317
2604,Africa,1997,804.5088922269998
2605,Africa,2002,772.6766193660001
2606,Africa,2007,725.6810488469998
